Negara	Region	Tahun	AHH	CO2
Austria	Eropa	2011	81	67724.6393
Austria	Eropa	2012	81.2	64679.2656
Austria	Eropa	2013	81.3	65098.6022
Austria	Eropa	2014	81.5	60855.6951
Austria	Eropa	2015	81.6	62871.2608
Austria	Eropa	2016	81.8	63809.3541
Austria	Eropa	2017	82	66573.0216
Austria	Eropa	2018	82.1	64552.7752
Austria	Eropa	2019	82.2	66158.3503
Austria	Eropa	2020	81.5	58515.7551
Austria	Eropa	2021	82.4	60716.0754
Austria	Eropa	2022	82.6	57833.9552
Belgia	Eropa	2011	80.4	123375.8455
Belgia	Eropa	2012	80.5	118922.6167
Belgia	Eropa	2013	80.7	119967.7899
Belgia	Eropa	2014	81	111748.3442
Belgia	Eropa	2015	81.1	117668.9677
Belgia	Eropa	2016	81.3	119417.0409
Belgia	Eropa	2017	81.4	121199.8654
Belgia	Eropa	2018	81.4	128058.2013
Belgia	Eropa	2019	81.4	124638.1879
Belgia	Eropa	2020	80.2	108002.7161
Belgia	Eropa	2021	81.7	116259.9261
Belgia	Eropa	2022	81.9	110925.0908
Rumania	Eropa	2011	74.6	95208.6013
Rumania	Eropa	2012	74.7	91785.6514
Rumania	Eropa	2013	75.3	79348.2893
Rumania	Eropa	2014	75	80949.0815
Rumania	Eropa	2015	75.3	81976.9127
Rumania	Eropa	2016	75.3	78975.6002
Rumania	Eropa	2017	75.4	82756.3661
Rumania	Eropa	2018	75.5	83358.4018
Rumania	Eropa	2019	75.5	81752.3217
Rumania	Eropa	2020	74.1	74322.8758
Rumania	Eropa	2021	75.8	78848.7941
Rumania	Eropa	2022	75.9	75587.0175
Makedonia Utara	Eropa	2011	73.7	9809.7785
Makedonia Utara	Eropa	2012	73.7	9352.9417
Makedonia Utara	Eropa	2013	74	8267.5132
Makedonia Utara	Eropa	2014	74	7801.9847
Makedonia Utara	Eropa	2015	74	7479.7821
Makedonia Utara	Eropa	2016	73.8	7272.4629
Makedonia Utara	Eropa	2017	74.1	7780.0737
Makedonia Utara	Eropa	2018	74.3	8466.1312
Makedonia Utara	Eropa	2019	74.4	8356.6370
Makedonia Utara	Eropa	2020	72.8	6878.4409
Makedonia Utara	Eropa	2021	74.6	6885.9753
Makedonia Utara	Eropa	2022	74.8	7351.9546
Jerman	Eropa	2011	80.7	781955.2112
Jerman	Eropa	2012	80.8	791022.6606
Jerman	Eropa	2013	80.8	814981.8800
Jerman	Eropa	2014	81	768208.8192
Jerman	Eropa	2015	80.9	772472.9521
Jerman	Eropa	2016	81	787579.5449
Jerman	Eropa	2017	81.1	779033.7972
Jerman	Eropa	2018	81.2	750769.7098
Jerman	Eropa	2019	81.2	697786.0365
Jerman	Eropa	2020	81	623188.2550
Jerman	Eropa	2021	81.5	660930.5396
Jerman	Eropa	2022	81.7	652353.3458
Ukraina	Eropa	2011	71.5	315088.5130
Ukraina	Eropa	2012	71.6	309953.2280
Ukraina	Eropa	2013	71.8	297937.5090
Ukraina	Eropa	2014	71.7	257418.8244
Ukraina	Eropa	2015	72.5	204891.1143
Ukraina	Eropa	2016	72.9	225687.1043
Ukraina	Eropa	2017	73.8	197485.3395
Ukraina	Eropa	2018	73.9	208821.8874
Ukraina	Eropa	2019	73.8	195550.0448
Ukraina	Eropa	2020	73.2	181386.0773
Ukraina	Eropa	2021	74.1	177719.3058
Ukraina	Eropa	2022	74.2	117798.4144
Argentina	Amerika	2011	76	203640.6354
Argentina	Amerika	2012	76.2	212748.9507
Argentina	Amerika	2013	76.3	218410.8492
Argentina	Amerika	2014	76.5	218623.1509
Argentina	Amerika	2015	76.5	222142.9878
Argentina	Amerika	2016	76.2	220183.4302
Argentina	Amerika	2017	76.3	218416.0027
Argentina	Amerika	2018	76.5	217571.2868
Argentina	Amerika	2019	76.6	208403.1222
Argentina	Amerika	2020	74.6	193279.3086
Argentina	Amerika	2021	76.9	219456.4339
Argentina	Amerika	2022	77	226946.4968
Brazil	Amerika	2011	74	481069.3699
Brazil	Amerika	2012	74.3	513331.3289
Brazil	Amerika	2013	74.5	544704.2861
Brazil	Amerika	2014	74.8	573013.9026
Brazil	Amerika	2015	75	555367.6455
Brazil	Amerika	2016	75	514333.3187
Brazil	Amerika	2017	75.4	518484.9073
Brazil	Amerika	2018	75.7	497958.0276
Brazil	Amerika	2019	75.8	494343.7922
Brazil	Amerika	2020	73.6	469204.8600
Brazil	Amerika	2021	76.3	523983.1802
Brazil	Amerika	2022	76.4	505965.3529
Chile	Amerika	2011	79	84333.0993
Chile	Amerika	2012	79.2	87099.8083
Chile	Amerika	2013	79.3	90446.8635
Chile	Amerika	2014	79.5	88664.1538
Chile	Amerika	2015	79.6	88850.3047
Chile	Amerika	2016	80	93848.6931
Chile	Amerika	2017	80	95219.7441
Chile	Amerika	2018	80.1	94751.2182
Chile	Amerika	2019	80.2	96186.9014
Chile	Amerika	2020	79.1	86453.7722
Chile	Amerika	2021	80.5	95001.9199
Chile	Amerika	2022	80.6	90995.1635
Meksiko	Amerika	2011	75.5	559328.3577
Meksiko	Amerika	2012	75.7	566872.4297
Meksiko	Amerika	2013	75.5	570312.1208
Meksiko	Amerika	2014	75.6	557597.5984
Meksiko	Amerika	2015	75.7	553947.4470
Meksiko	Amerika	2016	75.5	563632.7812
Meksiko	Amerika	2017	75.5	569369.6425
Meksiko	Amerika	2018	75.5	554544.7693
Meksiko	Amerika	2019	75.6	544322.2258
Meksiko	Amerika	2020	73	487070.9319
Meksiko	Amerika	2021	75.8	523950.7894
Meksiko	Amerika	2022	75.9	577492.5076
Kanada	Amerika	2011	81.9	602813.1926
Kanada	Amerika	2012	82	600394.1793
Kanada	Amerika	2013	82.1	615783.4410
Kanada	Amerika	2014	82.2	625031.1114
Kanada	Amerika	2015	82.3	625256.4225
Kanada	Amerika	2016	82.3	607860.7660
Kanada	Amerika	2017	82.4	627990.8688
Kanada	Amerika	2018	82.2	641152.9734
Kanada	Amerika	2019	82.2	628354.9465
Kanada	Amerika	2020	81.5	565768.6947
Kanada	Amerika	2021	82.5	578851.3073
Kanada	Amerika	2022	82.6	591448.0430
Venezuela	Amerika	2011	75.4	332064.6783
Venezuela	Amerika	2012	75.2	356522.8148
Venezuela	Amerika	2013	75.5	361677.4958
Venezuela	Amerika	2014	75.6	350939.6419
Venezuela	Amerika	2015	75.7	342823.4938
Venezuela	Amerika	2016	75.6	310376.6036
Venezuela	Amerika	2017	75.5	284239.3532
Venezuela	Amerika	2018	75.4	241452.1630
Venezuela	Amerika	2019	75	203384.4160
Venezuela	Amerika	2020	75.1	149771.2279
Venezuela	Amerika	2021	75.1	167970.9443
Venezuela	Amerika	2022	75.3	185394.3544
Iran	Timur Tengah	2011	75.8	723046.0757
Iran	Timur Tengah	2012	76	722203.9008
Iran	Timur Tengah	2013	76.2	729222.3781
Iran	Timur Tengah	2014	76.5	750894.3328
Iran	Timur Tengah	2015	76.7	746133.8077
Iran	Timur Tengah	2016	77.1	800154.3663
Iran	Timur Tengah	2017	77.3	823451.0874
Iran	Timur Tengah	2018	77.6	848155.5494
Iran	Timur Tengah	2019	77.8	841027.6674
Iran	Timur Tengah	2020	76.2	864503.9575
Iran	Timur Tengah	2021	78.2	888393.7295
Iran	Timur Tengah	2022	78.3	904782.3971
Iraq	Timur Tengah	2011	71	184597.0794
Iraq	Timur Tengah	2012	71.3	207593.2933
Iraq	Timur Tengah	2013	70.9	226442.8743
Iraq	Timur Tengah	2014	69.9	232847.5044
Iraq	Timur Tengah	2015	70.7	251851.7378
Iraq	Timur Tengah	2016	70.9	282920.9645
Iraq	Timur Tengah	2017	71.5	302089.3555
Iraq	Timur Tengah	2018	73.3	307661.9419
Iraq	Timur Tengah	2019	73.3	315275.4311
Iraq	Timur Tengah	2020	72.1	281190.3518
Iraq	Timur Tengah	2021	73.6	291080.5953
Iraq	Timur Tengah	2022	73.7	314456.8444
Kuwait	Timur Tengah	2011	80.9	110211.7094
Kuwait	Timur Tengah	2012	81	113326.3804
Kuwait	Timur Tengah	2013	81.3	119571.7711
Kuwait	Timur Tengah	2014	81.6	121117.3518
Kuwait	Timur Tengah	2015	81.5	123346.6451
Kuwait	Timur Tengah	2016	81.6	123871.7720
Kuwait	Timur Tengah	2017	81.6	123063.3621
Kuwait	Timur Tengah	2018	81.6	126153.9255
Kuwait	Timur Tengah	2019	81.5	116206.2243
Kuwait	Timur Tengah	2020	81.2	108408.4839
Kuwait	Timur Tengah	2021	81.7	113099.4469
Kuwait	Timur Tengah	2022	81.8	120540.3321
Oman	Timur Tengah	2011	70.8	69189.0568
Oman	Timur Tengah	2012	71.5	76685.1094
Oman	Timur Tengah	2013	71.9	87797.8254
Oman	Timur Tengah	2014	72.3	87435.3868
Oman	Timur Tengah	2015	72.4	91847.2739
Oman	Timur Tengah	2016	72.6	94211.0368
Oman	Timur Tengah	2017	72.9	95937.1195
Oman	Timur Tengah	2018	73.6	99913.2106
Oman	Timur Tengah	2019	74	99755.4582
Oman	Timur Tengah	2020	72.7	94556.8508
