Negara	Region	Tahun	AHH	CO2
Austria	Eropa	2010	80.8	67.8
Austria	Eropa	2011	81	64.7
Austria	Eropa	2012	81.2	62.2
Austria	Eropa	2013	81.3	62.9
Austria	Eropa	2014	81.5	58.6
Austria	Eropa	2015	81.6	60.7
Austria	Eropa	2016	81.8	61.6
Austria	Eropa	2017	82	64.4
Austria	Eropa	2018	82.1	62.1
Austria	Eropa	2019	82.2	63.6
Austria	Eropa	2020	81.5	56
Austria	Eropa	2021	82.4	58.4
Belgia	Eropa	2010	80.2	133.5
Belgia	Eropa	2011	80.4	120.6
Belgia	Eropa	2012	80.5	116.3
Belgia	Eropa	2013	80.7	117.3
Belgia	Eropa	2014	81	109
Belgia	Eropa	2015	81.1	115.2
Belgia	Eropa	2016	81.3	116.9
Belgia	Eropa	2017	81.4	118.8
Belgia	Eropa	2018	81.4	125.4
Belgia	Eropa	2019	81.4	121.7
Belgia	Eropa	2020	80.2	105.5
Belgia	Eropa	2021	81.7	114.7
Rumania	Eropa	2010	73.8	78.2
Rumania	Eropa	2011	74.6	85.1
Rumania	Eropa	2012	74.7	81.7
Rumania	Eropa	2013	75.3	69.8
Rumania	Eropa	2014	75	71.1
Rumania	Eropa	2015	75.3	71.9
Rumania	Eropa	2016	75.3	69.5
Rumania	Eropa	2017	75.4	72.9
Rumania	Eropa	2018	75.5	73.4
Rumania	Eropa	2019	75.5	71.7
Rumania	Eropa	2020	74.1	64.6
Rumania	Eropa	2021	75.8	70.3
Makedonia	Eropa	2010	73.4	8.5
Makedonia	Eropa	2011	73.7	9.3
Makedonia	Eropa	2012	73.7	8.9
Makedonia	Eropa	2013	74	7.9
Makedonia	Eropa	2014	74	7.5
Makedonia	Eropa	2015	74	7.2
Makedonia	Eropa	2016	73.8	7.1
Makedonia	Eropa	2017	74.1	7.5
Makedonia	Eropa	2018	74.3	7.1
Makedonia	Eropa	2019	74.4	8.1
Makedonia	Eropa	2020	72.8	6.6
Makedonia	Eropa	2021	74.6	6.9
Jerman	Eropa	2010	80.5	783.2
Jerman	Eropa	2011	80.7	763.7
Jerman	Eropa	2012	80.8	773
Jerman	Eropa	2013	80.8	797.6
Jerman	Eropa	2014	81	751.1
Jerman	Eropa	2015	80.9	755.6
Jerman	Eropa	2016	81	770.5
Jerman	Eropa	2017	81.1	760.9
Jerman	Eropa	2018	81.2	733.1
Jerman	Eropa	2019	81.2	680.1
